
New mission : Follow LINE from ponton to nord - duration_max: 1000000 ; spd: 3000
time d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
5170 47 2310.0 -2850.0 2365.22655025 3000 27 25 
5671 52 2430.0 -2970.0 2309.44656362 3000 27 25 
6242 54 2280.0 -3120.0 2276.2363433 3000 27 25 
6750 48 2220.0 -2910.0 2339.51331991 3000 27 25 
7305 49 2430.0 -3030.0 2325.7742219 3000 27 25 
7811 49 2280.0 -2940.0 2328.34516924 3000 27 25 
8363 45 2310.0 -3030.0 2375.54915111 3000 27 25 
8905 47 2460.0 -3060.0 2347.34196106 3000 27 25 
9407 28 2250.0 -2940.0 2575.64942882 3000 27 25 
9907 44 2700.0 -2970.0 2372.23462226 3000 27 25 
10409 49 2370.0 -3090.0 2307.32314466 3000 27 25 
10946 33 2130.0 -2940.0 2505.87907865 3000 27 25 
11453 84 2730.0 -3030.0 1857.32904682 3000 27 25 
12025 43 1560.0 -2940.0 2363.43041717 3000 27 25 
12536 45 2580.0 -2910.0 2333.43992227 3000 27 25 
13088 37 2400.0 -3210.0 2439.90190417 3000 27 25 
13593 48 2340.0 -2850.0 2300.44946013 3000 27 25 
14162 37 2340.0 -3000.0 2425.74514545 3000 27 25 
14663 33 2460.0 -3090.0 2477.66317623 3000 27 25 
15232 32 2490.0 -2940.0 2482.37407538 3000 27 25 
15740 27 2460.0 -3045.0 2546.00240919 3000 27 25 
16240 40 2610.0 -2955.0 2382.16103069 3000 27 25 
16748 34 2310.0 -3030.0 2450.02897118 3000 27 25 
17305 26 2460.0 -3000.0 2549.1024332 3000 27 25 
17808 34 2670.0 -3060.0 2446.63086581 3000 27 25 
18312 25 2310.0 -2880.0 2555.70276327 3000 27 25 
18815 13 2610.0 -2970.0 2710.79030759 3000 27 25 
19359 41 2790.0 -3120.0 2353.63513645 3000 27 25 
19916 40 2220.0 -2880.0 2364.45457766 3000 27 25 
20417 39 2310.0 -3150.0 2366.86690312 3000 27 25 
20946 24 2520.0 -2970.0 2559.33898255 3000 27 25 
21453 28 2490.0 -2970.0 2510.11622249 3000 27 25 
21954 24 2520.0 -2910.0 2549.45054804 3000 27 25 
22461 26 1830.0 -3120.0 2523.72144846 3000 27 25 
23029 17 2250.0 -2910.0 2636.47951182 3000 27 25 
23540 17 2970.0 -2880.0 2631.04482527 3000 27 25 
