
duration_max: 1000000 ; a: ponton ; b: est ; spd: 3000
time: 19518 ; d_psi: 1 ; rpm_l: 2520 ; rpm_r: -2970 ; rpm_lb: 2974 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 20029 ; d_psi: 12 ; rpm_l: 2580 ; rpm_r: -3060 ; rpm_lb: 2840 ; rpm_rb: 3000 ; th_l: 18 ; th_r: 20
time: 20552 ; d_psi: -7 ; rpm_l: 2790 ; rpm_r: -3090 ; rpm_lb: 3000 ; rpm_rb: 2910 ; th_l: 18 ; th_r: 20
time: 21057 ; d_psi: -2 ; rpm_l: 2880 ; rpm_r: -3090 ; rpm_lb: 3000 ; rpm_rb: 2977 ; th_l: 18 ; th_r: 20
time: 21629 ; d_psi: -16 ; rpm_l: 3060 ; rpm_r: -3240 ; rpm_lb: 3000 ; rpm_rb: 2805 ; th_l: 18 ; th_r: 20
time: 22135 ; d_psi: -3 ; rpm_l: 3000 ; rpm_r: -3000 ; rpm_lb: 3000 ; rpm_rb: 2967 ; th_l: 18 ; th_r: 20
time: 22691 ; d_psi: -8 ; rpm_l: 3180 ; rpm_r: -2820 ; rpm_lb: 3000 ; rpm_rb: 2897 ; th_l: 18 ; th_r: 20
time: 23193 ; d_psi: -8 ; rpm_l: 3030 ; rpm_r: -2790 ; rpm_lb: 3000 ; rpm_rb: 2899 ; th_l: 18 ; th_r: 20
time: 23761 ; d_psi: -12 ; rpm_l: 3120 ; rpm_r: -2700 ; rpm_lb: 3000 ; rpm_rb: 2852 ; th_l: 18 ; th_r: 20
time: 24266 ; d_psi: -2 ; rpm_l: 3060 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 2967 ; th_l: 18 ; th_r: 20
time: 24769 ; d_psi: -3 ; rpm_l: 3000 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2957 ; th_l: 18 ; th_r: 20
