
New mission : Follow LINE from est to nord - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
45678 0 0 0 0 0 0 -32 2880 -2550 3000 2451 19 21 
46180 0 0 0 0 0 0 -28 3270 -2430 3000 2504 19 21 
46732 0 0 0 0 0 0 -32 2790 -2550 3000 2446 19 21 
47293 0 0 0 0 0 0 11 3090 -2430 3000 2988 19 21 
47801 0 0 0 0 0 0 -19 2880 -3120 3000 2602 19 21 
48340 0 0 0 0 0 0 -59 3150 -2550 3000 2087 19 21 
48843 0 0 0 0 0 0 -26 2910 -1980 3000 2495 19 21 
49416 0 0 0 0 0 0 -10 3090 -2490 3000 2694 19 21 
49922 0 0 0 0 0 0 -28 2880 -2760 3000 2459 19 21 
50481 0 0 0 0 0 0 -31 3060 -2400 3000 2418 19 21 
50981 0 0 0 0 0 0 -11 3030 -2400 3000 2660 19 21 
51554 0 0 0 0 0 0 -29 2970 -2820 3000 2430 19 21 
52062 0 0 0 0 0 0 -6 3000 -2340 3000 2711 19 21 
52627 0 0 0 0 0 0 -7 2970 -2730 3000 2702 19 21 
53132 0 0 0 0 0 0 12 3030 -2700 3000 2957 19 21 
53675 0 0 0 0 0 0 14 3000 -3030 3000 2978 19 21 
54186 0 0 0 0 0 0 -4 3030 -3030 3000 2741 19 21 
54736 0 0 0 0 0 0 -2 3030 -2670 3000 2765 19 21 
55298 0 0 0 0 0 0 22 2880 -2730 2911 3000 19 21 
55807 0 0 0 0 0 0 52 2940 -3060 2522 3000 19 21 
56331 0 0 0 0 0 0 -7 2460 -3090 3000 2718 19 21 
56833 0 0 0 0 0 0 53 3030 -2550 2501 3000 19 21 
57334 0 0 0 0 0 0 21 2370 -3090 2897 3000 19 21 
57836 0 0 0 0 0 0 1 3150 -3000 3000 2854 19 21 
58408 0 0 0 0 0 0 -14 2940 -2820 3000 2651 19 21 
58914 0 0 0 0 0 0 11 3000 -2550 3000 2979 19 21 
59471 0 0 0 0 0 0 -18 3030 -3060 3000 2597 19 21 
59971 0 0 0 0 0 0 29 3030 -2640 2791 3000 19 21 
60542 0 0 0 0 0 0 15 2580 -3000 2965 3000 19 21 
61052 0 0 0 0 0 0 -60 3120 -3000 3000 2067 19 21 
61616 0 0 0 0 0 0 -18 3060 -1950 3000 2590 19 21 
62122 0 0 0 0 0 0 -23 2910 -2580 3000 2523 19 21 
62676 0 0 0 0 0 0 -25 3060 -2550 3000 2485 19 21 
63176 0 0 0 0 0 0 12 3030 -2520 3000 2962 19 21 
63684 0 0 0 0 0 0 -12 2940 -2970 3000 2653 19 21 
64191 0 0 0 0 0 0 -21 3030 -2670 3000 2536 19 21 
64738 0 0 0 0 0 0 6 2970 -2520 3000 2888 19 21 
65300 0 0 0 0 0 0 -2 2970 -3000 3000 2770 19 21 
65808 0 0 0 0 0 0 2 3030 -2670 3000 2831 19 21 
66333 0 0 0 0 0 0 -18 3060 -2880 3000 2573 19 21 
66835 0 0 0 0 0 0 9 2910 -2520 3000 2921 19 21 
67410 0 0 0 0 0 0 -4 3000 -2910 3000 2742 19 21 
67916 0 0 0 0 0 0 74 3090 -2790 2251 3000 19 21 
68473 0 0 0 0 0 0 4 1860 -3150 3000 2876 19 21 
68973 0 0 0 0 0 0 -39 2970 -2700 3000 2314 19 21 
69483 0 0 0 0 0 0 87 3120 -2190 2077 3000 19 21 
69983 0 0 0 0 0 0 -9 1980 -3240 3000 2710 19 21 
70551 0 0 0 0 0 0 -2 2970 -2520 3000 2796 19 21 
71055 0 0 0 0 0 0 -16 3210 -2910 3000 2622 19 21 
71620 0 0 0 0 0 0 -18 2820 -2550 3000 2583 19 21 
72124 0 0 0 0 0 0 -32 3030 -2610 3000 2411 19 21 
72626 0 0 0 0 0 0 -33 3090 -2340 3000 2387 19 21 
73130 0 0 0 0 0 0 -21 3000 -2400 3000 2535 19 21 
73683 0 0 0 0 0 0 -31 2940 -2520 3000 2397 19 21 
74185 0 0 0 0 0 0 -22 3030 -2430 3000 2506 19 21 
74731 0 0 0 0 0 0 -11 3000 -2490 3000 2641 19 21 
75301 0 0 0 0 0 0 3 2910 -2730 3000 2831 19 21 
75809 0 0 0 0 0 0 14 3150 -2880 3000 2974 19 21 
76340 0 0 0 0 0 0 -11 2910 -2970 3000 2642 19 21 
76841 0 0 0 0 0 0 6 2970 -2550 3000 2871 19 21 
77410 0 0 0 0 0 0 -7 3030 -2850 3000 2694 19 21 
77913 0 0 0 0 0 0 -1 3030 -2760 3000 2764 19 21 
78418 0 0 0 0 0 0 -17 2940 -2730 3000 2559 19 21 
78921 0 0 0 0 0 0 20 3030 -2460 2960 3000 19 21 
79472 0 0 0 0 0 0 13 2940 -3240 3000 2959 19 21 
79973 0 0 0 0 0 0 -7 3090 -2850 3000 2697 19 21 
80546 0 0 0 0 0 0 5 2940 -2670 3000 2858 19 21 
81053 0 0 0 0 0 0 -16 2970 -2880 3000 2575 19 21 
81620 0 0 0 0 0 0 -12 3060 -2490 3000 2619 19 21 
82129 0 0 0 0 0 0 47 2970 -2670 2611 3000 19 21 
82676 0 0 0 0 0 0 -19 2400 -3120 3000 2539 19 21 
83186 0 0 0 0 0 0 -32 3270 -2400 3000 2374 19 21 
83729 0 0 0 0 0 0 -32 2910 -2280 3000 2362 19 21 
84299 0 0 0 0 0 0 -8 3090 -2430 3000 2663 19 21 
84808 0 0 0 0 0 0 -16 2940 -2700 3000 2553 19 21 
85341 0 0 0 0 0 0 -16 2970 -2505 3000 2559 19 21 
85843 0 0 0 0 0 0 -24 3000 -2535 3000 2444 19 21 
86417 0 0 0 0 0 0 -10 3000 -2520 3000 2622 19 21 
86923 0 0 0 0 0 0 -13 3030 -2580 3000 2581 19 21 
87476 0 0 0 0 0 0 0 3030 -2610 3000 2741 19 21 
87976 0 0 0 0 0 0 23 3030 -2790 2949 3000 19 21 
88545 0 0 0 0 0 0 11 2820 -3060 3000 2903 19 21 
89053 0 0 0 0 0 0 -2 3090 -2820 3000 2720 19 21 
89618 0 0 0 0 0 0 -10 3000 -2760 3000 2621 19 21 
90123 0 0 0 0 0 0 -12 2970 -2580 3000 2601 19 21 
90625 0 0 0 0 0 0 -10 2970 -2580 3000 2617 19 21 
91130 0 0 0 0 0 0 -2 3060 -2580 3000 2718 19 21 
91684 0 0 0 0 0 0 5 2940 -2850 3000 2818 19 21 
92186 0 0 0 0 0 0 -17 3030 -2820 3000 2532 19 21 
92730 0 0 0 0 0 0 -11 3000 -2430 3000 2602 19 21 
93303 0 0 0 0 0 0 -14 3030 -2640 3000 2553 19 21 
93812 0 0 0 0 0 0 12 2940 -2490 3000 2903 19 21 
94340 0 0 0 0 0 0 -15 3030 -3000 3000 2547 19 21 
94842 0 0 0 0 0 0 -2 3030 -2520 3000 2705 19 21 
95410 0 0 0 0 0 0 -11 2970 -2790 3000 2594 19 21 
95916 0 0 0 0 0 0 -10 3000 -2460 3000 2595 19 21 
96417 0 0 0 0 0 0 112 3000 -2610 1839 3000 19 21 
96923 0 0 0 0 0 0 -23 1830 -3180 3000 2459 19 21 
97482 0 0 0 0 0 0 -20 3030 -2250 3000 2494 19 21 
97982 0 0 0 0 0 0 -15 2970 -2460 3000 2556 19 21 
98546 0 0 0 0 0 0 20 3030 -2550 2998 3000 19 21 
99054 0 0 0 0 0 0 -14 2820 -3210 3000 2563 19 21 
99556 0 0 0 0 0 0 -10 3300 -2520 3000 2618 19 21 
100063 0 0 0 0 0 0 -10 2790 -2490 3000 2607 19 21 
100618 0 0 0 0 0 0 -2 3060 -2610 3000 2703 19 21 
101128 0 0 0 0 0 0 -21 3000 -2790 3000 2469 19 21 
101676 0 0 0 0 0 0 -18 3000 -2400 3000 2493 19 21 
102184 0 0 0 0 0 0 13 3000 -2520 3000 2897 19 21 
102730 0 0 0 0 0 0 -5 3000 -2940 3000 2659 19 21 
103294 0 0 0 0 0 0 -14 2970 -2610 3000 2546 19 21 
103803 0 0 0 0 0 0 -18 3120 -2610 3000 2487 19 21 
104334 0 0 0 0 0 0 -14 2880 -2355 3000 2540 19 21 
104837 0 0 0 0 0 0 -18 3030 -2610 3000 2482 19 21 
105411 0 0 0 0 0 0 -1 3060 -2490 3000 2691 19 21 
105917 0 0 0 0 0 0 -34 2910 -2700 3000 2273 19 21 
106473 0 0 0 0 0 0 -2 3060 -6120 3000 2672 19 21 
106981 0 0 0 0 0 0 -3 3030 -750 3000 2662 19 21 
107548 0 0 0 0 0 0 -7 2910 -2070 3000 2603 19 21 
108049 0 0 0 0 0 0 -3 3030 -2670 3000 2658 19 21 
108555 0 0 0 0 0 0 2 2940 -2700 3000 2733 19 21 

New mission : Follow LINE from nord to ouest - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
0 0 0 0 0 0 0 170 2430 -2250 830 3000 19 21 
561 0 0 0 0 0 0 -179 720 -3030 3000 752 19 21 
1062 0 0 0 0 0 0 175 1770 -2250 765 3000 19 21 
1563 0 0 0 0 0 0 162 780 -2850 887 3000 19 21 
2068 0 0 0 0 0 0 147 930 -3000 1037 3000 19 21 
2619 0 0 0 0 0 0 135 1110 -3060 1151 3000 19 21 
3124 0 0 0 0 0 0 130 1200 -2850 1182 3000 19 21 
3671 0 0 0 0 0 0 17 1140 -2970 2589 3000 19 21 
4224 0 0 0 0 0 0 38 2340 -3030 2323 3000 19 21 
4733 0 0 0 0 0 0 54 2310 -2910 2102 3000 19 21 
5274 0 0 0 0 0 0 31 2100 -3000 2389 3000 19 21 
5777 0 0 0 0 0 0 26 2430 -3030 2435 3000 19 21 
6352 0 0 0 0 0 0 15 2490 -3120 2570 3000 19 21 
6858 0 0 0 0 0 0 -7 2580 -3000 2860 3000 19 21 
7405 0 0 0 0 0 0 -13 3000 -2940 2941 3000 19 21 
7906 0 0 0 0 0 0 -22 2970 -3030 3000 2941 19 21 
8419 0 0 0 0 0 0 5 3000 -2910 2713 3000 19 21 
8920 0 0 0 0 0 0 -29 2640 -3030 3000 2844 19 21 
9488 0 0 0 0 0 0 -32 3090 -2820 3000 2798 19 21 
9995 0 0 0 0 0 0 -41 3090 -2850 3000 2680 19 21 
10553 0 0 0 0 0 0 -44 2940 -2550 3000 2625 19 21 
11062 0 0 0 0 0 0 -44 3030 -2700 3000 2623 19 21 
11562 0 0 0 0 0 0 -52 3000 -2610 3000 2499 19 21 
12063 0 0 0 0 0 0 -49 2970 -2460 3000 2523 19 21 
12603 0 0 0 0 0 0 -43 3060 -2490 3000 2596 19 21 
13107 0 0 0 0 0 0 -54 3000 -2730 3000 2437 19 21 
13658 0 0 0 0 0 0 -50 3000 -2340 3000 2484 19 21 
14227 0 0 0 0 0 0 -25 2940 -2520 3000 2781 19 21 
14730 0 0 0 0 0 0 -65 2970 -2835 3000 2274 19 21 
15265 0 0 0 0 0 0 -54 3090 -2235 3000 2392 19 21 
15773 0 0 0 0 0 0 -57 2970 -2340 3000 2340 19 21 
16342 0 0 0 0 0 0 -42 3000 -2340 3000 2515 19 21 
16852 0 0 0 0 0 0 -47 2970 -2445 3000 2447 19 21 
17406 0 0 0 0 0 0 -45 3030 -2580 3000 2458 19 21 
