
duration: 50 ; psi_bar: 90 ; spd: 3000
time: 19453 ; d_psi: 4 ; rpm_l: 2670 ; rpm_r: -2580 ; rpm_lb: 2916 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 19958 ; d_psi: -31 ; rpm_l: 2850 ; rpm_r: -2820 ; rpm_lb: 3000 ; rpm_rb: 2632 ; th_l: 22 ; th_r: 24
time: 20461 ; d_psi: 61 ; rpm_l: 2970 ; rpm_r: -2790 ; rpm_lb: 2204 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 20966 ; d_psi: -8 ; rpm_l: 2520 ; rpm_r: -2880 ; rpm_lb: 3000 ; rpm_rb: 2926 ; th_l: 22 ; th_r: 24
time: 21525 ; d_psi: -141 ; rpm_l: 2640 ; rpm_r: -3060 ; rpm_lb: 3000 ; rpm_rb: 1243 ; th_l: 22 ; th_r: 24
time: 22026 ; d_psi: -17 ; rpm_l: 2880 ; rpm_r: -2130 ; rpm_lb: 3000 ; rpm_rb: 2800 ; th_l: 22 ; th_r: 24
time: 22535 ; d_psi: 32 ; rpm_l: 3000 ; rpm_r: -2160 ; rpm_lb: 2573 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 23035 ; d_psi: -110 ; rpm_l: 2850 ; rpm_r: -2460 ; rpm_lb: 3000 ; rpm_rb: 1632 ; th_l: 22 ; th_r: 24
time: 23595 ; d_psi: 18 ; rpm_l: 2940 ; rpm_r: -1995 ; rpm_lb: 2754 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 24105 ; d_psi: 35 ; rpm_l: 2820 ; rpm_r: -2430 ; rpm_lb: 2539 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 24674 ; d_psi: -5 ; rpm_l: 2580 ; rpm_r: -2850 ; rpm_lb: 3000 ; rpm_rb: 2949 ; th_l: 22 ; th_r: 24
time: 25184 ; d_psi: 19 ; rpm_l: 2730 ; rpm_r: -3060 ; rpm_lb: 2740 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 25702 ; d_psi: 11 ; rpm_l: 2850 ; rpm_r: -3210 ; rpm_lb: 2844 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 26279 ; d_psi: -179 ; rpm_l: 2880 ; rpm_r: -3300 ; rpm_lb: 3000 ; rpm_rb: 755 ; th_l: 22 ; th_r: 24
time: 26804 ; d_psi: -164 ; rpm_l: 3060 ; rpm_r: -1980 ; rpm_lb: 3000 ; rpm_rb: 937 ; th_l: 22 ; th_r: 24
time: 27321 ; d_psi: 10 ; rpm_l: 3030 ; rpm_r: -840 ; rpm_lb: 2874 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 27828 ; d_psi: 28 ; rpm_l: 2940 ; rpm_r: -1410 ; rpm_lb: 2655 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 28391 ; d_psi: 26 ; rpm_l: 2700 ; rpm_r: -2400 ; rpm_lb: 2670 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 28901 ; d_psi: 94 ; rpm_l: 2610 ; rpm_r: -2880 ; rpm_lb: 1819 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 29452 ; d_psi: 138 ; rpm_l: 2100 ; rpm_r: -3300 ; rpm_lb: 1259 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 29957 ; d_psi: 68 ; rpm_l: 1530 ; rpm_r: -3420 ; rpm_lb: 2120 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
time: 30459 ; d_psi: 89 ; rpm_l: 1290 ; rpm_r: -3510 ; rpm_lb: 1856 ; rpm_rb: 3000 ; th_l: 22 ; th_r: 24
