
time: 0 ; d_psi: -69 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 354 ; th_l: 20 ; th_r: 22
time: 530 ; d_psi: -66 ; rpm_l: 3390 ; rpm_r: -3660 ; rpm_lb: 500 ; rpm_rb: 359 ; th_l: 20 ; th_r: 22
time: 1032 ; d_psi: -86 ; rpm_l: 2790 ; rpm_r: -2790 ; rpm_lb: 500 ; rpm_rb: 315 ; th_l: 20 ; th_r: 22
time: 1540 ; d_psi: -78 ; rpm_l: 600 ; rpm_r: -150 ; rpm_lb: 500 ; rpm_rb: 332 ; th_l: 20 ; th_r: 22
time: 2042 ; d_psi: -63 ; rpm_l: 90 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 363 ; th_l: 20 ; th_r: 22
time: 2609 ; d_psi: -63 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 362 ; th_l: 20 ; th_r: 22
time: 3116 ; d_psi: -53 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 381 ; th_l: 20 ; th_r: 22
time: 3671 ; d_psi: -52 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 382 ; th_l: 20 ; th_r: 22
time: 4174 ; d_psi: -47 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 392 ; th_l: 20 ; th_r: 22
time: 4742 ; d_psi: -59 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 367 ; th_l: 20 ; th_r: 22
time: 5252 ; d_psi: -46 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 392 ; th_l: 20 ; th_r: 22
time: 5824 ; d_psi: -58 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 366 ; th_l: 20 ; th_r: 22
time: 6329 ; d_psi: -59 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 364 ; th_l: 20 ; th_r: 22
time: 6887 ; d_psi: -58 ; rpm_l: 0 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 366 ; th_l: 20 ; th_r: 22
time: 7394 ; d_psi: -62 ; rpm_l: 120 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 356 ; th_l: 20 ; th_r: 22
time: 7896 ; d_psi: -60 ; rpm_l: 540 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 360 ; th_l: 20 ; th_r: 22
time: 8397 ; d_psi: -70 ; rpm_l: 660 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 339 ; th_l: 20 ; th_r: 22
time: 8940 ; d_psi: -66 ; rpm_l: 660 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 345 ; th_l: 20 ; th_r: 22
time: 9499 ; d_psi: -71 ; rpm_l: 630 ; rpm_r: 0 ; rpm_lb: 500 ; rpm_rb: 334 ; th_l: 20 ; th_r: 22
time: 10009 ; d_psi: -68 ; rpm_l: 600 ; rpm_r: -90 ; rpm_lb: 500 ; rpm_rb: 339 ; th_l: 20 ; th_r: 22
time: 10532 ; d_psi: -62 ; rpm_l: 510 ; rpm_r: -420 ; rpm_lb: 500 ; rpm_rb: 350 ; th_l: 20 ; th_r: 22
time: 11036 ; d_psi: -74 ; rpm_l: 480 ; rpm_r: -630 ; rpm_lb: 500 ; rpm_rb: 325 ; th_l: 20 ; th_r: 22
time: 11540 ; d_psi: -71 ; rpm_l: 450 ; rpm_r: -450 ; rpm_lb: 500 ; rpm_rb: 331 ; th_l: 20 ; th_r: 22
time: 12044 ; d_psi: -62 ; rpm_l: 450 ; rpm_r: -360 ; rpm_lb: 500 ; rpm_rb: 347 ; th_l: 20 ; th_r: 22
time: 12617 ; d_psi: -74 ; rpm_l: 510 ; rpm_r: -360 ; rpm_lb: 500 ; rpm_rb: 322 ; th_l: 20 ; th_r: 22
time: 13124 ; d_psi: -80 ; rpm_l: 510 ; rpm_r: -300 ; rpm_lb: 500 ; rpm_rb: 308 ; th_l: 20 ; th_r: 22
time: 13672 ; d_psi: -67 ; rpm_l: 510 ; rpm_r: -300 ; rpm_lb: 500 ; rpm_rb: 334 ; th_l: 20 ; th_r: 22
