
New mission : Follow LINE from ponton to eval - duration_max: 1000000 ; spd: 3000
time mx my mz ax ay az d_PSI rpmL rpmR rpmL_bar rpmR_bar thL thR 
45931 0 0 0 0 0 0 -19 2940 -2610 3000 2357 20 22 
46437 0 0 0 0 0 0 -61 3120 -2385 3000 1821 20 22 
46995 0 0 0 0 0 0 -32 2970 -1680 3000 2181 20 22 
47497 0 0 0 0 0 0 -53 2970 -2190 3000 1895 20 22 
48065 0 0 0 0 0 0 10 3030 -1950 3000 2702 20 22 
48573 0 0 0 0 0 0 12 2940 -2670 3000 2726 20 22 
49136 0 0 0 0 0 0 29 3060 -2850 3000 2953 20 22 
49641 0 0 0 0 0 0 28 3030 -3045 3000 2943 20 22 
50154 0 0 0 0 0 0 28 2940 -2865 3000 2951 20 22 
50654 0 0 0 0 0 0 30 2970 -2940 3000 2989 20 22 
51163 0 0 0 0 0 0 13 3090 -3060 3000 2780 20 22 
51667 0 0 0 0 0 0 12 3030 -2760 3000 2770 20 22 
52215 0 0 0 0 0 0 7 2910 -2730 3000 2710 20 22 
52742 0 0 0 0 0 0 -96 2970 -2670 3000 1380 20 22 
53252 0 0 0 0 0 0 -76 3180 -1560 3000 1613 20 22 
53787 0 0 0 0 0 0 -10 2790 -1470 3000 2435 20 22 
54291 0 0 0 0 0 0 -25 3060 -2490 3000 2247 20 22 
54796 0 0 0 0 0 0 -8 3090 -2340 3000 2450 20 22 
55300 0 0 0 0 0 0 -33 2880 -2430 3000 2129 20 22 
55872 0 0 0 0 0 0 -9 3180 -2160 3000 2434 20 22 
56379 0 0 0 0 0 0 -4 2760 -2430 3000 2493 20 22 
56919 0 0 0 0 0 0 -24 3000 -2430 3000 2240 20 22 
57425 0 0 0 0 0 0 -27 3300 -2340 3000 2191 20 22 
57933 0 0 0 0 0 0 -10 2760 -2100 3000 2394 20 22 
58435 0 0 0 0 0 0 -19 3120 -2460 3000 2282 20 22 
59004 0 0 0 0 0 0 -144 3000 -2280 3000 679 20 22 
59505 0 0 0 0 0 0 -1 2850 -975 3000 2472 20 22 
60069 0 0 0 0 0 0 0 3120 -2220 3000 2486 20 22 
60580 0 0 0 0 0 0 -4 2910 -2490 3000 2431 20 22 
61144 0 0 0 0 0 0 13 3120 -2430 3000 2657 20 22 
61647 0 0 0 0 0 0 7 2850 -2730 3000 2590 20 22 
62173 0 0 0 0 0 0 22 3030 -2610 3000 2782 20 22 
62733 0 0 0 0 0 0 9 3060 -2760 3000 2625 20 22 
63241 0 0 0 0 0 0 10 2880 -2670 3000 2639 20 22 
63753 0 0 0 0 0 0 0 3030 -2550 3000 2498 20 22 
64263 0 0 0 0 0 0 2 3180 -2520 3000 2539 20 22 
64797 0 0 0 0 0 0 -11 2910 -2580 3000 2356 20 22 
65301 0 0 0 0 0 0 -6 2970 -2310 3000 2424 20 22 
65863 0 0 0 0 0 0 28 3000 -2400 3000 2861 20 22 
66370 0 0 0 0 0 0 25 3060 -2970 3000 2836 20 22 
66873 0 0 0 0 0 0 2 3000 -2850 3000 2549 20 22 
67380 0 0 0 0 0 0 17 2970 -2580 3000 2741 20 22 
67922 0 0 0 0 0 0 -2 2940 -2640 3000 2490 20 22 
68428 0 0 0 0 0 0 -6 3030 -2520 3000 2430 20 22 
68996 0 0 0 0 0 0 8 3060 -2400 3000 2626 20 22 
69497 0 0 0 0 0 0 10 2970 -2670 3000 2656 20 22 
70070 0 0 0 0 0 0 -27 3030 -2700 3000 2177 20 22 
70578 0 0 0 0 0 0 25 3000 -2070 3000 2843 20 22 
71135 0 0 0 0 0 0 0 2820 -2880 3000 2518 20 22 
71646 0 0 0 0 0 0 -15 3150 -2490 3000 2329 20 22 
72166 0 0 0 0 0 0 -4 3000 -2400 3000 2466 20 22 
72746 0 0 0 0 0 0 -7 3030 -2400 3000 2425 20 22 
73256 0 0 0 0 0 0 13 3000 -2460 3000 2684 20 22 
73786 0 0 0 0 0 0 13 2940 -2670 3000 2693 20 22 
74290 0 0 0 0 0 0 7 2910 -2730 3000 2618 20 22 
74864 0 0 0 0 0 0 -23 3150 -2580 3000 2227 20 22 
75371 0 0 0 0 0 0 27 3000 -2250 3000 2870 20 22 
75873 0 0 0 0 0 0 -2 2910 -2820 3000 2498 20 22 
76380 0 0 0 0 0 0 1 3060 -2550 3000 2549 20 22 
76931 0 0 0 0 0 0 -6 2970 -2580 3000 2447 20 22 
77436 0 0 0 0 0 0 16 3030 -2430 3000 2732 20 22 
77997 0 0 0 0 0 0 9 3000 -2730 3000 2651 20 22 
78498 0 0 0 0 0 0 11 2970 -2700 3000 2682 20 22 
79006 0 0 0 0 0 0 36 3000 -2610 2998 3000 20 22 
79508 0 0 0 0 0 0 36 2940 -3060 2989 3000 20 22 
80077 0 0 0 0 0 0 54 3060 -3060 2758 3000 20 22 
80585 0 0 0 0 0 0 3 2700 -2940 3000 2604 20 22 
81136 0 0 0 0 0 0 -59 3030 -2565 3000 1802 20 22 
81637 0 0 0 0 0 0 -16 3090 -1710 3000 2346 20 22 
82144 0 0 0 0 0 0 30 2820 -2280 3000 2930 20 22 
82655 0 0 0 0 0 0 -32 3240 -3090 3000 2142 20 22 
83175 0 0 0 0 0 0 -2 2910 -2100 3000 2508 20 22 
83746 0 0 0 0 0 0 15 2970 -2460 3000 2739 20 22 
84256 0 0 0 0 0 0 -13 2970 -2880 3000 2371 20 22 
84790 0 0 0 0 0 0 -15 3090 -2280 3000 2353 20 22 
85294 0 0 0 0 0 0 3 2910 -2340 3000 2585 20 22 
85796 0 0 0 0 0 0 30 3030 -2550 3000 2928 20 22 
86300 0 0 0 0 0 0 2 2940 -3060 3000 2577 20 22 
86873 0 0 0 0 0 0 -2 3090 -2460 3000 2518 20 22 
87380 0 0 0 0 0 0 -25 2970 -2550 3000 2229 20 22 
87927 0 0 0 0 0 0 -23 3060 -2220 3000 2240 20 22 
88433 0 0 0 0 0 0 -6 2910 -2220 3000 2449 20 22 
88991 0 0 0 0 0 0 8 3000 -2490 3000 2644 20 22 
89492 0 0 0 0 0 0 -10 3060 -2670 3000 2402 20 22 
89992 0 0 0 0 0 0 -31 2970 -2430 3000 2138 20 22 
90493 0 0 0 0 0 0 -24 3060 -2100 3000 2220 20 22 
90997 0 0 0 0 0 0 -90 2880 -2130 3000 1365 20 22 
91498 0 0 0 0 0 0 -22 3030 -1290 3000 2214 20 22 
92065 0 0 0 0 0 0 2 3150 -2220 3000 2526 20 22 
92573 0 0 0 0 0 0 8 2790 -2610 3000 2605 20 22 
93136 0 0 0 0 0 0 22 3000 -2640 3000 2787 20 22 
93638 0 0 0 0 0 0 18 3075 -2760 3000 2731 20 22 
94161 0 0 0 0 0 0 29 3075 -2880 3000 2888 20 22 
94668 0 0 0 0 0 0 23 2940 -2910 3000 2812 20 22 
95219 0 0 0 0 0 0 10 3000 -2730 3000 2657 20 22 
95745 0 0 0 0 0 0 14 2970 -2670 3000 2709 20 22 
96255 0 0 0 0 0 0 0 3090 -2760 3000 2519 20 22 
96795 0 0 0 0 0 0 1 2970 -2490 3000 2547 20 22 
97299 0 0 0 0 0 0 -49 2940 -2460 3000 1890 20 22 
97872 0 0 0 0 0 0 -16 3060 -1800 3000 2300 20 22 
98379 0 0 0 0 0 0 -6 3000 -2280 3000 2423 20 22 
98918 0 0 0 0 0 0 -18 3000 -2550 3000 2275 20 22 
99424 0 0 0 0 0 0 9 2970 -2250 3000 2619 20 22 
99932 0 0 0 0 0 0 5 3000 -2640 3000 2569 20 22 
100438 0 0 0 0 0 0 14 3000 -2640 3000 2689 20 22 
101005 0 0 0 0 0 0 0 3000 -2640 3000 2510 20 22 
101506 0 0 0 0 0 0 -7 3060 -2490 3000 2417 20 22 
102069 0 0 0 0 0 0 -8 2910 -2400 3000 2399 20 22 
102578 0 0 0 0 0 0 -11 3000 -2430 3000 2365 20 22 
103079 0 0 0 0 0 0 -18 3060 -2400 3000 2262 20 22 
103587 0 0 0 0 0 0 -28 3060 -2190 3000 2139 20 22 
104144 0 0 0 0 0 0 1 2820 -2100 3000 2506 20 22 
104648 0 0 0 0 0 0 -10 3030 -2550 3000 2358 20 22 
105166 0 0 0 0 0 0 -8 3120 -2430 3000 2385 20 22 
105741 0 0 0 0 0 0 -9 2940 -2310 3000 2364 20 22 
106251 0 0 0 0 0 0 27 2940 -2310 3000 2838 20 22 
106755 0 0 0 0 0 0 -5 3030 -2880 3000 2424 20 22 
107265 0 0 0 0 0 0 11 3030 -2490 3000 2632 20 22 
