
New mission : Follow POINT - duration_max: 60
time psi rpmL rpmR rpmL_bar rpmR_bar thL thR 
11484 -73 900 1500 1105 1894 24 24 
12026 -78 1230 1950 1420 2579 24 24 
12577 -78 1620 2730 1789 3210 24 24 
13086 -71 1830 3180 2368 3631 24 24 
13618 -81 2610 4050 2368 2631 24 24 
14120 -65 2400 2910 2368 1631 24 24 
14695 -56 2400 1560 2368 631 24 24 
15201 -52 2340 240 1669 330 24 24 
15746 -49 1365 210 1234 0 24 24 
16247 -58 1035 30 801 0 24 24 
16761 -53 660 0 1414 387 24 24 
17261 -43 1830 240 2007 794 24 24 
17817 -60 2130 1020 2682 1119 24 24 
18327 -54 2850 1410 3254 1547 24 24 
18836 -52 3360 1530 3646 2155 24 24 
19345 -57 3780 2280 3798 3002 24 24 
19909 -94 4110 3150 3375 3565 24 24 
20416 -72 2940 3780 3375 2565 24 24 
20971 -51 3540 2640 3375 1565 24 24 
21480 -73 3450 1290 2375 1565 24 24 
22027 -78 2280 1590 1634 1306 24 24 
22588 -90 1170 1260 1135 805 24 24 
23096 -97 1080 450 1319 0 24 24 
23626 -101 1500 0 1319 1000 24 24 
24129 -110 1140 1200 1319 2000 24 24 
24697 -116 1470 2280 1419 2899 24 24 
25201 -96 1380 2640 1771 3548 24 24 
25704 -99 2010 4260 2265 4000 24 24 
26208 -103 2220 3930 3265 4000 24 24 
26767 -101 3330 3840 3265 3000 24 24 
27275 -93 630 600 2265 3000 24 24 
